Categoría: Ciencias ocultas y paranormales

Día,Geo: Francia
2018-12-30,90
2018-12-31,76
2019-01-01,100
2019-01-02,80
2019-01-03,74
2019-01-04,71
2019-01-05,80
2019-01-06,86
2019-01-07,72
2019-01-08,74
2019-01-09,74
2019-01-10,79
2019-01-11,69
2019-01-12,84
2019-01-13,90
2019-01-14,77
2019-01-15,68
2019-01-16,74
2019-01-17,69
2019-01-18,74
2019-01-19,89
2019-01-20,93
2019-01-21,77
2019-01-22,71
2019-01-23,74
2019-01-24,74
2019-01-25,70
2019-01-26,79
2019-01-27,92
2019-01-28,68
2019-01-29,68
2019-01-30,70
2019-01-31,70
2019-02-01,74
2019-02-02,82
2019-02-03,87
2019-02-04,71
2019-02-05,72
2019-02-06,78
2019-02-07,78
2019-02-08,74
2019-02-09,83
2019-02-10,84
2019-02-11,76
2019-02-12,66
2019-02-13,68
2019-02-14,66
2019-02-15,67
2019-02-16,72
2019-02-17,78
2019-02-18,68
2019-02-19,68
2019-02-20,67
2019-02-21,64
2019-02-22,66
2019-02-23,68
2019-02-24,72
2019-02-25,62
2019-02-26,64
2019-02-27,66
2019-02-28,67
2019-03-01,69
2019-03-02,73
2019-03-03,84
2019-03-04,70
2019-03-05,79
2019-03-06,78
2019-03-07,71
2019-03-08,68
2019-03-09,73
2019-03-10,87
2019-03-11,71
2019-03-12,70
2019-03-13,70
2019-03-14,72
2019-03-15,73
2019-03-16,77
2019-03-17,86
2019-03-18,75
2019-03-19,70
2019-03-20,66
2019-03-21,67
2019-03-22,65
2019-03-23,71
2019-03-24,75
2019-03-25,67
2019-03-26,70
2019-03-27,70
2019-03-28,68
2019-03-29,66
2019-03-30,70
2019-03-31,74
2019-04-01,64
2019-04-02,72
2019-04-03,72
2019-04-04,67
2019-04-05,73
2019-04-06,89
2019-04-07,89
2019-04-08,72
2019-04-09,73
2019-04-10,72
