Categoría: Ciencias ocultas y paranormales

Día,Geo: Austria
2019-12-30,52
2019-12-31,48
2020-01-01,66
2020-01-02,48
2020-01-03,47
2020-01-04,53
2020-01-05,68
2020-01-06,54
2020-01-07,50
2020-01-08,49
2020-01-09,48
2020-01-10,50
2020-01-11,51
2020-01-12,48
2020-01-13,42
2020-01-14,47
2020-01-15,37
2020-01-16,48
2020-01-17,46
2020-01-18,46
2020-01-19,48
2020-01-20,40
2020-01-21,42
2020-01-22,44
2020-01-23,45
2020-01-24,41
2020-01-25,47
2020-01-26,47
2020-01-27,41
2020-01-28,54
2020-01-29,47
2020-01-30,42
2020-01-31,44
2020-02-01,45
2020-02-02,51
2020-02-03,46
2020-02-04,44
2020-02-05,40
2020-02-06,41
2020-02-07,45
2020-02-08,58
2020-02-09,52
2020-02-10,49
2020-02-11,48
2020-02-12,43
2020-02-13,45
2020-02-14,50
2020-02-15,45
2020-02-16,56
2020-02-17,44
2020-02-18,41
2020-02-19,43
2020-02-20,42
2020-02-21,47
2020-02-22,51
2020-02-23,64
2020-02-24,51
2020-02-25,51
2020-02-26,48
2020-02-27,46
2020-02-28,49
2020-02-29,57
2020-03-01,51
2020-03-02,52
2020-03-03,42
2020-03-04,50
2020-03-05,44
2020-03-06,55
2020-03-07,54
2020-03-08,48
2020-03-09,44
2020-03-10,46
2020-03-11,52
2020-03-12,56
2020-03-13,66
2020-03-14,78
2020-03-15,90
2020-03-16,56
2020-03-17,66
2020-03-18,60
2020-03-19,65
2020-03-20,68
2020-03-21,100
2020-03-22,92
2020-03-23,73
2020-03-24,73
2020-03-25,70
2020-03-26,63
2020-03-27,70
2020-03-28,70
2020-03-29,69
2020-03-30,59
2020-03-31,57
2020-04-01,51
2020-04-02,52
2020-04-03,49
2020-04-04,57
2020-04-05,71
2020-04-06,58
2020-04-07,59
