Categoría: Ciencias ocultas y paranormales

Día,Geo: Alemania
2019-12-30,54
2019-12-31,53
2020-01-01,68
2020-01-02,57
2020-01-03,59
2020-01-04,63
2020-01-05,63
2020-01-06,55
2020-01-07,55
2020-01-08,52
2020-01-09,54
2020-01-10,56
2020-01-11,59
2020-01-12,58
2020-01-13,53
2020-01-14,45
2020-01-15,43
2020-01-16,48
2020-01-17,54
2020-01-18,54
2020-01-19,62
2020-01-20,50
2020-01-21,51
2020-01-22,51
2020-01-23,49
2020-01-24,46
2020-01-25,56
2020-01-26,58
2020-01-27,53
2020-01-28,53
2020-01-29,49
2020-01-30,52
2020-01-31,52
2020-02-01,59
2020-02-02,64
2020-02-03,51
2020-02-04,48
2020-02-05,43
2020-02-06,45
2020-02-07,47
2020-02-08,49
2020-02-09,63
2020-02-10,52
2020-02-11,47
2020-02-12,47
2020-02-13,45
2020-02-14,47
2020-02-15,51
2020-02-16,58
2020-02-17,47
2020-02-18,47
2020-02-19,46
2020-02-20,46
2020-02-21,45
2020-02-22,51
2020-02-23,62
2020-02-24,52
2020-02-25,51
2020-02-26,53
2020-02-27,53
2020-02-28,53
2020-02-29,58
2020-03-01,59
2020-03-02,49
2020-03-03,51
2020-03-04,47
2020-03-05,46
2020-03-06,54
2020-03-07,54
2020-03-08,59
2020-03-09,51
2020-03-10,54
2020-03-11,55
2020-03-12,61
2020-03-13,74
2020-03-14,80
2020-03-15,82
2020-03-16,65
2020-03-17,68
2020-03-18,69
2020-03-19,67
2020-03-20,78
2020-03-21,95
2020-03-22,92
2020-03-23,69
2020-03-24,73
2020-03-25,65
2020-03-26,64
2020-03-27,65
2020-03-28,79
2020-03-29,100
2020-03-30,67
2020-03-31,67
2020-04-01,62
2020-04-02,57
2020-04-03,61
2020-04-04,60
2020-04-05,88
2020-04-06,59
2020-04-07,55
