Categoría: Ciencias ocultas y paranormales

Día,Geo: Italia
2019-12-30,70
2019-12-31,67
2020-01-01,90
2020-01-02,76
2020-01-03,73
2020-01-04,79
2020-01-05,83
2020-01-06,63
2020-01-07,62
2020-01-08,70
2020-01-09,64
2020-01-10,61
2020-01-11,66
2020-01-12,70
2020-01-13,64
2020-01-14,67
2020-01-15,64
2020-01-16,55
2020-01-17,62
2020-01-18,72
2020-01-19,67
2020-01-20,67
2020-01-21,59
2020-01-22,60
2020-01-23,58
2020-01-24,59
2020-01-25,78
2020-01-26,71
2020-01-27,65
2020-01-28,62
2020-01-29,67
2020-01-30,63
2020-01-31,70
2020-02-01,69
2020-02-02,74
2020-02-03,67
2020-02-04,72
2020-02-05,67
2020-02-06,61
2020-02-07,61
2020-02-08,64
2020-02-09,64
2020-02-10,60
2020-02-11,58
2020-02-12,67
2020-02-13,65
2020-02-14,63
2020-02-15,71
2020-02-16,71
2020-02-17,69
2020-02-18,63
2020-02-19,59
2020-02-20,61
2020-02-21,66
2020-02-22,70
2020-02-23,81
2020-02-24,64
2020-02-25,71
2020-02-26,67
2020-02-27,66
2020-02-28,70
2020-02-29,69
2020-03-01,75
2020-03-02,67
2020-03-03,64
2020-03-04,63
2020-03-05,71
2020-03-06,78
2020-03-07,87
2020-03-08,89
2020-03-09,91
2020-03-10,99
2020-03-11,84
2020-03-12,90
2020-03-13,90
2020-03-14,100
2020-03-15,95
2020-03-16,73
2020-03-17,74
2020-03-18,76
2020-03-19,93
2020-03-20,87
2020-03-21,96
2020-03-22,100
2020-03-23,85
2020-03-24,81
2020-03-25,86
2020-03-26,86
2020-03-27,90
2020-03-28,87
2020-03-29,85
2020-03-30,82
2020-03-31,84
2020-04-01,85
2020-04-02,78
2020-04-03,79
2020-04-04,88
2020-04-05,91
2020-04-06,74
2020-04-07,80
