Categoría: Ciencias ocultas y paranormales

Día,Geo: Luxemburgo
2019-12-30,51
2019-12-31,0
2020-01-01,0
2020-01-02,45
2020-01-03,47
2020-01-04,0
2020-01-05,48
2020-01-06,68
2020-01-07,0
2020-01-08,64
2020-01-09,61
2020-01-10,51
2020-01-11,0
2020-01-12,0
2020-01-13,39
2020-01-14,52
2020-01-15,0
2020-01-16,53
2020-01-17,0
2020-01-18,0
2020-01-19,51
2020-01-20,52
2020-01-21,46
2020-01-22,0
2020-01-23,46
2020-01-24,56
2020-01-25,68
2020-01-26,0
2020-01-27,0
2020-01-28,44
2020-01-29,0
2020-01-30,40
2020-01-31,45
2020-02-01,0
2020-02-02,0
2020-02-03,49
2020-02-04,45
2020-02-05,0
2020-02-06,52
2020-02-07,0
2020-02-08,48
2020-02-09,0
2020-02-10,55
2020-02-11,56
2020-02-12,41
2020-02-13,43
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,0
2020-02-18,48
2020-02-19,38
2020-02-20,0
2020-02-21,0
2020-02-22,0
2020-02-23,0
2020-02-24,39
2020-02-25,40
2020-02-26,72
2020-02-27,38
2020-02-28,38
2020-02-29,0
2020-03-01,41
2020-03-02,60
2020-03-03,38
2020-03-04,48
2020-03-05,39
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,63
2020-03-10,38
2020-03-11,43
2020-03-12,65
2020-03-13,0
2020-03-14,60
2020-03-15,81
2020-03-16,61
2020-03-17,56
2020-03-18,100
2020-03-19,57
2020-03-20,56
2020-03-21,48
2020-03-22,52
2020-03-23,52
2020-03-24,0
2020-03-25,54
2020-03-26,50
2020-03-27,41
2020-03-28,71
2020-03-29,67
2020-03-30,46
2020-03-31,0
2020-04-01,40
2020-04-02,0
2020-04-03,44
2020-04-04,97
2020-04-05,0
2020-04-06,48
2020-04-07,0
