Categoría: Ciencias ocultas y paranormales

Día,Geo: Países Bajos
2019-12-30,60
2019-12-31,55
2020-01-01,69
2020-01-02,63
2020-01-03,62
2020-01-04,59
2020-01-05,64
2020-01-06,64
2020-01-07,65
2020-01-08,60
2020-01-09,59
2020-01-10,60
2020-01-11,57
2020-01-12,66
2020-01-13,56
2020-01-14,57
2020-01-15,59
2020-01-16,57
2020-01-17,61
2020-01-18,62
2020-01-19,61
2020-01-20,61
2020-01-21,62
2020-01-22,54
2020-01-23,62
2020-01-24,58
2020-01-25,61
2020-01-26,57
2020-01-27,64
2020-01-28,54
2020-01-29,60
2020-01-30,54
2020-01-31,59
2020-02-01,61
2020-02-02,62
2020-02-03,60
2020-02-04,58
2020-02-05,58
2020-02-06,58
2020-02-07,60
2020-02-08,55
2020-02-09,64
2020-02-10,62
2020-02-11,56
2020-02-12,62
2020-02-13,56
2020-02-14,57
2020-02-15,68
2020-02-16,72
2020-02-17,63
2020-02-18,61
2020-02-19,59
2020-02-20,62
2020-02-21,60
2020-02-22,63
2020-02-23,62
2020-02-24,61
2020-02-25,69
2020-02-26,60
2020-02-27,61
2020-02-28,65
2020-02-29,65
2020-03-01,64
2020-03-02,57
2020-03-03,69
2020-03-04,56
2020-03-05,56
2020-03-06,61
2020-03-07,59
2020-03-08,63
2020-03-09,61
2020-03-10,65
2020-03-11,59
2020-03-12,87
2020-03-13,91
2020-03-14,87
2020-03-15,100
2020-03-16,77
2020-03-17,77
2020-03-18,80
2020-03-19,82
2020-03-20,84
2020-03-21,81
2020-03-22,86
2020-03-23,68
2020-03-24,76
2020-03-25,66
2020-03-26,67
2020-03-27,67
2020-03-28,76
2020-03-29,79
2020-03-30,67
2020-03-31,65
2020-04-01,65
2020-04-02,68
2020-04-03,66
2020-04-04,77
2020-04-05,61
2020-04-06,65
2020-04-07,67
