Categoría: Ciencias ocultas y paranormales

Semana,Geo: España
2018-12-30,55
2019-01-06,48
2019-01-13,50
2019-01-20,47
2019-01-27,49
2019-02-03,51
2019-02-10,54
2019-02-17,51
2019-02-24,47
2019-03-03,46
2019-03-10,45
2019-03-17,47
2019-03-24,46
2019-03-31,47
2019-04-07,50
2019-04-14,62
2019-04-21,50
2019-04-28,49
2019-05-05,50
2019-05-12,49
2019-05-19,50
2019-05-26,50
2019-06-02,53
2019-06-09,57
2019-06-16,71
2019-06-23,88
2019-06-30,45
2019-07-07,55
2019-07-14,100
2019-07-21,62
2019-07-28,52
2019-08-04,49
2019-08-11,50
2019-08-18,49
2019-08-25,47
2019-09-01,52
2019-09-08,50
2019-09-15,99
2019-09-22,55
2019-09-29,57
2019-10-06,46
2019-10-13,53
2019-10-20,56
2019-10-27,70
2019-11-03,50
2019-11-10,47
2019-11-17,48
2019-11-24,44
2019-12-01,43
2019-12-08,48
2019-12-15,49
2019-12-22,51
2019-12-29,61
2020-01-05,59
2020-01-12,48
2020-01-19,48
2020-01-26,46
2020-02-02,48
2020-02-09,48
2020-02-16,48
2020-02-23,48
2020-03-01,47
2020-03-08,64
2020-03-15,82
2020-03-22,67
2020-03-29,79
2020-04-05,95
