Categoría: Lugares de culto

Día,Geo: Austria
2018-12-30,46
2018-12-31,30
2019-01-01,47
2019-01-02,54
2019-01-03,45
2019-01-04,44
2019-01-05,40
2019-01-06,44
2019-01-07,39
2019-01-08,31
2019-01-09,52
2019-01-10,50
2019-01-11,41
2019-01-12,49
2019-01-13,33
2019-01-14,40
2019-01-15,33
2019-01-16,47
2019-01-17,61
2019-01-18,50
2019-01-19,39
2019-01-20,30
2019-01-21,44
2019-01-22,35
2019-01-23,49
2019-01-24,37
2019-01-25,40
2019-01-26,27
2019-01-27,49
2019-01-28,53
2019-01-29,46
2019-01-30,46
2019-01-31,39
2019-02-01,53
2019-02-02,28
2019-02-03,60
2019-02-04,44
2019-02-05,35
2019-02-06,37
2019-02-07,50
2019-02-08,0
2019-02-09,42
2019-02-10,73
2019-02-11,46
2019-02-12,63
2019-02-13,55
2019-02-14,24
2019-02-15,49
2019-02-16,52
2019-02-17,50
2019-02-18,36
2019-02-19,43
2019-02-20,59
2019-02-21,46
2019-02-22,51
2019-02-23,38
2019-02-24,55
2019-02-25,48
2019-02-26,36
2019-02-27,26
2019-02-28,39
2019-03-01,38
2019-03-02,40
2019-03-03,49
2019-03-04,46
2019-03-05,50
2019-03-06,51
2019-03-07,60
2019-03-08,30
2019-03-09,44
2019-03-10,69
2019-03-11,49
2019-03-12,25
2019-03-13,56
2019-03-14,38
2019-03-15,94
2019-03-16,64
2019-03-17,60
2019-03-18,59
2019-03-19,42
2019-03-20,62
2019-03-21,60
2019-03-22,47
2019-03-23,66
2019-03-24,100
2019-03-25,50
2019-03-26,60
2019-03-27,42
2019-03-28,53
2019-03-29,44
2019-03-30,37
2019-03-31,45
2019-04-01,39
2019-04-02,44
2019-04-03,45
2019-04-04,54
2019-04-05,58
2019-04-06,68
2019-04-07,63
2019-04-08,66
2019-04-09,46
2019-04-10,100
