Categoría: Lugares de culto

Día,Geo: Bélgica
2018-12-30,74
2018-12-31,61
2019-01-01,56
2019-01-02,67
2019-01-03,67
2019-01-04,91
2019-01-05,69
2019-01-06,69
2019-01-07,66
2019-01-08,77
2019-01-09,65
2019-01-10,80
2019-01-11,73
2019-01-12,75
2019-01-13,69
2019-01-14,65
2019-01-15,73
2019-01-16,71
2019-01-17,72
2019-01-18,77
2019-01-19,71
2019-01-20,62
2019-01-21,71
2019-01-22,77
2019-01-23,71
2019-01-24,71
2019-01-25,73
2019-01-26,93
2019-01-27,74
2019-01-28,74
2019-01-29,76
2019-01-30,71
2019-01-31,73
2019-02-01,68
2019-02-02,75
2019-02-03,79
2019-02-04,64
2019-02-05,85
2019-02-06,68
2019-02-07,89
2019-02-08,71
2019-02-09,72
2019-02-10,69
2019-02-11,78
2019-02-12,73
2019-02-13,79
2019-02-14,73
2019-02-15,72
2019-02-16,73
2019-02-17,62
2019-02-18,73
2019-02-19,70
2019-02-20,78
2019-02-21,73
2019-02-22,74
2019-02-23,71
2019-02-24,67
2019-02-25,66
2019-02-26,69
2019-02-27,80
2019-02-28,81
2019-03-01,68
2019-03-02,71
2019-03-03,78
2019-03-04,75
2019-03-05,73
2019-03-06,82
2019-03-07,60
2019-03-08,71
2019-03-09,71
2019-03-10,66
2019-03-11,86
2019-03-12,71
2019-03-13,69
2019-03-14,69
2019-03-15,100
2019-03-16,88
2019-03-17,74
2019-03-18,80
2019-03-19,80
2019-03-20,75
2019-03-21,73
2019-03-22,76
2019-03-23,80
2019-03-24,79
2019-03-25,85
2019-03-26,76
2019-03-27,69
2019-03-28,81
2019-03-29,68
2019-03-30,70
2019-03-31,68
2019-04-01,72
2019-04-02,77
2019-04-03,77
2019-04-04,73
2019-04-05,91
2019-04-06,82
2019-04-07,87
2019-04-08,80
2019-04-09,75
2019-04-10,73
