Categoría: Lugares de culto

Día,Geo: Países Bajos
2018-12-30,100
2018-12-31,71
2019-01-01,64
2019-01-02,50
2019-01-03,49
2019-01-04,44
2019-01-05,63
2019-01-06,96
2019-01-07,64
2019-01-08,53
2019-01-09,51
2019-01-10,50
2019-01-11,52
2019-01-12,59
2019-01-13,81
2019-01-14,53
2019-01-15,52
2019-01-16,55
2019-01-17,50
2019-01-18,52
2019-01-19,56
2019-01-20,86
2019-01-21,53
2019-01-22,50
2019-01-23,47
2019-01-24,54
2019-01-25,49
2019-01-26,59
2019-01-27,90
2019-01-28,52
2019-01-29,51
2019-01-30,52
2019-01-31,49
2019-02-01,54
2019-02-02,58
2019-02-03,81
2019-02-04,46
2019-02-05,53
2019-02-06,51
2019-02-07,52
2019-02-08,48
2019-02-09,55
2019-02-10,86
2019-02-11,57
2019-02-12,51
2019-02-13,48
2019-02-14,50
2019-02-15,47
2019-02-16,55
2019-02-17,80
2019-02-18,47
2019-02-19,51
2019-02-20,50
2019-02-21,52
2019-02-22,54
2019-02-23,54
2019-02-24,83
2019-02-25,46
2019-02-26,48
2019-02-27,45
2019-02-28,49
2019-03-01,52
2019-03-02,56
2019-03-03,90
2019-03-04,55
2019-03-05,52
2019-03-06,55
2019-03-07,54
2019-03-08,56
2019-03-09,58
2019-03-10,92
2019-03-11,54
2019-03-12,53
2019-03-13,87
2019-03-14,54
2019-03-15,69
2019-03-16,65
2019-03-17,91
2019-03-18,60
2019-03-19,51
2019-03-20,53
2019-03-21,50
2019-03-22,57
2019-03-23,62
2019-03-24,85
2019-03-25,56
2019-03-26,55
2019-03-27,55
2019-03-28,52
2019-03-29,53
2019-03-30,55
2019-03-31,79
2019-04-01,59
2019-04-02,62
2019-04-03,55
2019-04-04,48
2019-04-05,55
2019-04-06,59
2019-04-07,74
2019-04-08,56
2019-04-09,59
2019-04-10,51
