Categoría: Lugares de culto

Día,Geo: España
2018-12-30,74
2018-12-31,54
2019-01-01,62
2019-01-02,63
2019-01-03,56
2019-01-04,64
2019-01-05,46
2019-01-06,55
2019-01-07,43
2019-01-08,51
2019-01-09,44
2019-01-10,53
2019-01-11,53
2019-01-12,59
2019-01-13,53
2019-01-14,50
2019-01-15,49
2019-01-16,58
2019-01-17,55
2019-01-18,52
2019-01-19,55
2019-01-20,65
2019-01-21,55
2019-01-22,50
2019-01-23,56
2019-01-24,57
2019-01-25,59
2019-01-26,62
2019-01-27,72
2019-01-28,58
2019-01-29,55
2019-01-30,57
2019-01-31,55
2019-02-01,59
2019-02-02,59
2019-02-03,66
2019-02-04,57
2019-02-05,54
2019-02-06,54
2019-02-07,58
2019-02-08,56
2019-02-09,68
2019-02-10,66
2019-02-11,50
2019-02-12,62
2019-02-13,54
2019-02-14,54
2019-02-15,49
2019-02-16,62
2019-02-17,64
2019-02-18,58
2019-02-19,57
2019-02-20,49
2019-02-21,59
2019-02-22,60
2019-02-23,71
2019-02-24,65
2019-02-25,55
2019-02-26,60
2019-02-27,59
2019-02-28,50
2019-03-01,58
2019-03-02,68
2019-03-03,77
2019-03-04,66
2019-03-05,64
2019-03-06,62
2019-03-07,57
2019-03-08,53
2019-03-09,63
2019-03-10,67
2019-03-11,62
2019-03-12,57
2019-03-13,52
2019-03-14,57
2019-03-15,72
2019-03-16,78
2019-03-17,82
2019-03-18,64
2019-03-19,71
2019-03-20,66
2019-03-21,63
2019-03-22,66
2019-03-23,100
2019-03-24,88
2019-03-25,81
2019-03-26,66
2019-03-27,65
2019-03-28,60
2019-03-29,62
2019-03-30,78
2019-03-31,71
2019-04-01,67
2019-04-02,72
2019-04-03,67
2019-04-04,66
2019-04-05,76
2019-04-06,80
2019-04-07,79
2019-04-08,72
2019-04-09,73
2019-04-10,80
