Categoría: Lugares de culto

Día,Geo: Suiza
2019-12-30,82
2019-12-31,55
2020-01-01,97
2020-01-02,93
2020-01-03,100
2020-01-04,87
2020-01-05,90
2020-01-06,65
2020-01-07,91
2020-01-08,74
2020-01-09,81
2020-01-10,84
2020-01-11,76
2020-01-12,74
2020-01-13,85
2020-01-14,67
2020-01-15,67
2020-01-16,57
2020-01-17,70
2020-01-18,88
2020-01-19,79
2020-01-20,56
2020-01-21,54
2020-01-22,85
2020-01-23,75
2020-01-24,44
2020-01-25,93
2020-01-26,81
2020-01-27,79
2020-01-28,60
2020-01-29,67
2020-01-30,75
2020-01-31,89
2020-02-01,95
2020-02-02,96
2020-02-03,74
2020-02-04,71
2020-02-05,78
2020-02-06,74
2020-02-07,56
2020-02-08,79
2020-02-09,81
2020-02-10,60
2020-02-11,82
2020-02-12,79
2020-02-13,73
2020-02-14,98
2020-02-15,80
2020-02-16,69
2020-02-17,82
2020-02-18,63
2020-02-19,99
2020-02-20,60
2020-02-21,91
2020-02-22,57
2020-02-23,69
2020-02-24,82
2020-02-25,85
2020-02-26,61
2020-02-27,69
2020-02-28,77
2020-02-29,76
2020-03-01,47
2020-03-02,52
2020-03-03,70
2020-03-04,67
2020-03-05,83
2020-03-06,84
2020-03-07,75
2020-03-08,65
2020-03-09,50
2020-03-10,70
2020-03-11,79
2020-03-12,73
2020-03-13,81
2020-03-14,58
2020-03-15,80
2020-03-16,55
2020-03-17,55
2020-03-18,66
2020-03-19,44
2020-03-20,58
2020-03-21,53
2020-03-22,49
2020-03-23,22
2020-03-24,33
2020-03-25,63
2020-03-26,81
2020-03-27,65
2020-03-28,43
2020-03-29,80
2020-03-30,55
2020-03-31,60
2020-04-01,70
2020-04-02,58
2020-04-03,51
2020-04-04,58
2020-04-05,79
2020-04-06,65
2020-04-07,52
