Categoría: Cientología

Día,Geo: Austria
2018-12-30,85
2018-12-31,66
2019-01-01,55
2019-01-02,48
2019-01-03,48
2019-01-04,55
2019-01-05,67
2019-01-06,100
2019-01-07,28
2019-01-08,44
2019-01-09,41
2019-01-10,51
2019-01-11,45
2019-01-12,56
2019-01-13,65
2019-01-14,39
2019-01-15,51
2019-01-16,55
2019-01-17,35
2019-01-18,48
2019-01-19,70
2019-01-20,72
2019-01-21,32
2019-01-22,37
2019-01-23,35
2019-01-24,38
2019-01-25,40
2019-01-26,61
2019-01-27,51
2019-01-28,40
2019-01-29,36
2019-01-30,55
2019-01-31,63
2019-02-01,56
2019-02-02,50
2019-02-03,72
2019-02-04,38
2019-02-05,35
2019-02-06,39
2019-02-07,45
2019-02-08,32
2019-02-09,37
2019-02-10,79
2019-02-11,43
2019-02-12,52
2019-02-13,42
2019-02-14,37
2019-02-15,37
2019-02-16,67
2019-02-17,44
2019-02-18,71
2019-02-19,42
2019-02-20,44
2019-02-21,47
2019-02-22,48
2019-02-23,50
2019-02-24,55
2019-02-25,47
2019-02-26,39
2019-02-27,37
2019-02-28,36
2019-03-01,28
2019-03-02,59
2019-03-03,41
2019-03-04,39
2019-03-05,43
2019-03-06,40
2019-03-07,30
2019-03-08,41
2019-03-09,34
2019-03-10,52
2019-03-11,46
2019-03-12,44
2019-03-13,35
2019-03-14,43
2019-03-15,53
2019-03-16,67
2019-03-17,31
2019-03-18,39
2019-03-19,43
2019-03-20,42
2019-03-21,35
2019-03-22,44
2019-03-23,40
2019-03-24,50
2019-03-25,43
2019-03-26,29
2019-03-27,41
2019-03-28,36
2019-03-29,51
2019-03-30,40
2019-03-31,47
2019-04-01,33
2019-04-02,27
2019-04-03,46
2019-04-04,21
2019-04-05,34
2019-04-06,43
2019-04-07,30
2019-04-08,38
2019-04-09,37
2019-04-10,35
