Categoría: Cientología

Día,Geo: Portugal
2019-12-30,37
2019-12-31,42
2020-01-01,0
2020-01-02,46
2020-01-03,42
2020-01-04,48
2020-01-05,0
2020-01-06,74
2020-01-07,69
2020-01-08,75
2020-01-09,76
2020-01-10,46
2020-01-11,0
2020-01-12,0
2020-01-13,59
2020-01-14,53
2020-01-15,46
2020-01-16,52
2020-01-17,46
2020-01-18,0
2020-01-19,0
2020-01-20,87
2020-01-21,75
2020-01-22,100
2020-01-23,63
2020-01-24,62
2020-01-25,0
2020-01-26,37
2020-01-27,65
2020-01-28,54
2020-01-29,72
2020-01-30,82
2020-01-31,53
2020-02-01,0
2020-02-02,0
2020-02-03,76
2020-02-04,70
2020-02-05,76
2020-02-06,54
2020-02-07,53
2020-02-08,0
2020-02-09,0
2020-02-10,47
2020-02-11,70
2020-02-12,59
2020-02-13,70
2020-02-14,74
2020-02-15,0
2020-02-16,0
2020-02-17,69
2020-02-18,77
2020-02-19,64
2020-02-20,65
2020-02-21,62
2020-02-22,0
2020-02-23,0
2020-02-24,35
2020-02-25,0
2020-02-26,78
2020-02-27,71
2020-02-28,53
2020-02-29,0
2020-03-01,0
2020-03-02,71
2020-03-03,86
2020-03-04,77
2020-03-05,64
2020-03-06,56
2020-03-07,0
2020-03-08,0
2020-03-09,55
2020-03-10,74
2020-03-11,74
2020-03-12,61
2020-03-13,45
2020-03-14,0
2020-03-15,0
2020-03-16,72
2020-03-17,0
2020-03-18,55
2020-03-19,35
2020-03-20,41
2020-03-21,0
2020-03-22,34
2020-03-23,47
2020-03-24,45
2020-03-25,0
2020-03-26,72
2020-03-27,34
2020-03-28,0
2020-03-29,0
2020-03-30,0
2020-03-31,64
2020-04-01,0
2020-04-02,0
2020-04-03,0
2020-04-04,0
2020-04-05,0
2020-04-06,48
2020-04-07,0
