Categoría: Autoayuda y motivación

Día,Geo: Bélgica
2018-12-30,50
2018-12-31,52
2019-01-01,42
2019-01-02,52
2019-01-03,55
2019-01-04,60
2019-01-05,45
2019-01-06,55
2019-01-07,51
2019-01-08,59
2019-01-09,55
2019-01-10,53
2019-01-11,70
2019-01-12,57
2019-01-13,69
2019-01-14,52
2019-01-15,62
2019-01-16,51
2019-01-17,69
2019-01-18,55
2019-01-19,59
2019-01-20,57
2019-01-21,63
2019-01-22,56
2019-01-23,67
2019-01-24,53
2019-01-25,48
2019-01-26,60
2019-01-27,58
2019-01-28,60
2019-01-29,55
2019-01-30,67
2019-01-31,65
2019-02-01,60
2019-02-02,42
2019-02-03,55
2019-02-04,58
2019-02-05,45
2019-02-06,68
2019-02-07,59
2019-02-08,46
2019-02-09,54
2019-02-10,54
2019-02-11,53
2019-02-12,47
2019-02-13,55
2019-02-14,56
2019-02-15,41
2019-02-16,51
2019-02-17,47
2019-02-18,51
2019-02-19,52
2019-02-20,52
2019-02-21,58
2019-02-22,58
2019-02-23,46
2019-02-24,53
2019-02-25,59
2019-02-26,47
2019-02-27,61
2019-02-28,47
2019-03-01,64
2019-03-02,53
2019-03-03,100
2019-03-04,66
2019-03-05,71
2019-03-06,61
2019-03-07,48
2019-03-08,40
2019-03-09,40
2019-03-10,57
2019-03-11,55
2019-03-12,61
2019-03-13,52
2019-03-14,70
2019-03-15,54
2019-03-16,50
2019-03-17,62
2019-03-18,67
2019-03-19,61
2019-03-20,63
2019-03-21,56
2019-03-22,42
2019-03-23,44
2019-03-24,51
2019-03-25,71
2019-03-26,65
2019-03-27,55
2019-03-28,59
2019-03-29,52
2019-03-30,47
2019-03-31,51
2019-04-01,64
2019-04-02,59
2019-04-03,57
2019-04-04,65
2019-04-05,52
2019-04-06,50
2019-04-07,46
2019-04-08,49
2019-04-09,41
2019-04-10,53
