Categoría: Autoayuda y motivación

Día,Geo: Italia
2019-12-30,61
2019-12-31,57
2020-01-01,66
2020-01-02,62
2020-01-03,60
2020-01-04,65
2020-01-05,59
2020-01-06,57
2020-01-07,70
2020-01-08,63
2020-01-09,65
2020-01-10,62
2020-01-11,55
2020-01-12,62
2020-01-13,73
2020-01-14,69
2020-01-15,62
2020-01-16,62
2020-01-17,65
2020-01-18,61
2020-01-19,61
2020-01-20,65
2020-01-21,62
2020-01-22,63
2020-01-23,65
2020-01-24,66
2020-01-25,62
2020-01-26,58
2020-01-27,59
2020-01-28,64
2020-01-29,76
2020-01-30,60
2020-01-31,61
2020-02-01,55
2020-02-02,55
2020-02-03,58
2020-02-04,59
2020-02-05,61
2020-02-06,62
2020-02-07,60
2020-02-08,57
2020-02-09,55
2020-02-10,60
2020-02-11,65
2020-02-12,59
2020-02-13,58
2020-02-14,60
2020-02-15,51
2020-02-16,56
2020-02-17,60
2020-02-18,57
2020-02-19,59
2020-02-20,64
2020-02-21,61
2020-02-22,56
2020-02-23,46
2020-02-24,55
2020-02-25,53
2020-02-26,54
2020-02-27,57
2020-02-28,56
2020-02-29,50
2020-03-01,51
2020-03-02,60
2020-03-03,60
2020-03-04,56
2020-03-05,58
2020-03-06,58
2020-03-07,51
2020-03-08,57
2020-03-09,58
2020-03-10,58
2020-03-11,60
2020-03-12,58
2020-03-13,56
2020-03-14,62
2020-03-15,65
2020-03-16,64
2020-03-17,63
2020-03-18,60
2020-03-19,64
2020-03-20,63
2020-03-21,63
2020-03-22,73
2020-03-23,71
2020-03-24,60
2020-03-25,70
2020-03-26,66
2020-03-27,72
2020-03-28,100
2020-03-29,90
2020-03-30,71
2020-03-31,61
2020-04-01,61
2020-04-02,58
2020-04-03,62
2020-04-04,64
2020-04-05,63
2020-04-06,78
2020-04-07,65
