Categoría: Autoayuda y motivación

Día,Geo: Portugal
2019-12-30,51
2019-12-31,51
2020-01-01,74
2020-01-02,77
2020-01-03,61
2020-01-04,61
2020-01-05,73
2020-01-06,56
2020-01-07,61
2020-01-08,56
2020-01-09,54
2020-01-10,53
2020-01-11,54
2020-01-12,55
2020-01-13,61
2020-01-14,49
2020-01-15,58
2020-01-16,54
2020-01-17,54
2020-01-18,55
2020-01-19,57
2020-01-20,63
2020-01-21,46
2020-01-22,53
2020-01-23,58
2020-01-24,51
2020-01-25,43
2020-01-26,54
2020-01-27,54
2020-01-28,50
2020-01-29,62
2020-01-30,64
2020-01-31,56
2020-02-01,49
2020-02-02,49
2020-02-03,53
2020-02-04,47
2020-02-05,55
2020-02-06,54
2020-02-07,49
2020-02-08,45
2020-02-09,60
2020-02-10,51
2020-02-11,50
2020-02-12,54
2020-02-13,56
2020-02-14,52
2020-02-15,51
2020-02-16,58
2020-02-17,52
2020-02-18,47
2020-02-19,57
2020-02-20,43
2020-02-21,49
2020-02-22,43
2020-02-23,50
2020-02-24,46
2020-02-25,60
2020-02-26,53
2020-02-27,62
2020-02-28,53
2020-02-29,56
2020-03-01,66
2020-03-02,58
2020-03-03,51
2020-03-04,52
2020-03-05,58
2020-03-06,42
2020-03-07,44
2020-03-08,49
2020-03-09,49
2020-03-10,47
2020-03-11,39
2020-03-12,48
2020-03-13,38
2020-03-14,44
2020-03-15,58
2020-03-16,46
2020-03-17,48
2020-03-18,57
2020-03-19,62
2020-03-20,68
2020-03-21,68
2020-03-22,60
2020-03-23,66
2020-03-24,61
2020-03-25,72
2020-03-26,71
2020-03-27,61
2020-03-28,66
2020-03-29,73
2020-03-30,60
2020-03-31,71
2020-04-01,60
2020-04-02,67
2020-04-03,65
2020-04-04,66
2020-04-05,100
2020-04-06,75
2020-04-07,62
