Categoría: Autoayuda y motivación

Semana,Geo: Reino Unido
2018-12-30,84
2019-01-06,95
2019-01-13,93
2019-01-20,87
2019-01-27,85
2019-02-03,91
2019-02-10,82
2019-02-17,81
2019-02-24,85
2019-03-03,91
2019-03-10,85
2019-03-17,95
2019-03-24,84
2019-03-31,83
2019-04-07,94
2019-04-14,76
2019-04-21,80
2019-04-28,88
2019-05-05,82
2019-05-12,93
2019-05-19,87
2019-05-26,85
2019-06-02,85
2019-06-09,90
2019-06-16,89
2019-06-23,88
2019-06-30,81
2019-07-07,85
2019-07-14,81
2019-07-21,73
2019-07-28,83
2019-08-04,77
2019-08-11,77
2019-08-18,74
2019-08-25,68
2019-09-01,76
2019-09-08,83
2019-09-15,81
2019-09-22,82
2019-09-29,87
2019-10-06,89
2019-10-13,85
2019-10-20,78
2019-10-27,81
2019-11-03,86
2019-11-10,84
2019-11-17,88
2019-11-24,79
2019-12-01,79
2019-12-08,75
2019-12-15,72
2019-12-22,59
2019-12-29,93
2020-01-05,100
2020-01-12,93
2020-01-19,97
2020-01-26,92
2020-02-02,93
2020-02-09,95
2020-02-16,90
2020-02-23,91
2020-03-01,89
2020-03-08,82
2020-03-15,88
2020-03-22,93
2020-03-29,97
2020-04-05,87
