Categoría: Autoayuda y motivación

Semana,Geo: Países Bajos
2018-12-30,83
2019-01-06,100
2019-01-13,97
2019-01-20,92
2019-01-27,92
2019-02-03,93
2019-02-10,89
2019-02-17,88
2019-02-24,89
2019-03-03,84
2019-03-10,91
2019-03-17,93
2019-03-24,91
2019-03-31,88
2019-04-07,91
2019-04-14,85
2019-04-21,78
2019-04-28,79
2019-05-05,90
2019-05-12,92
2019-05-19,93
2019-05-26,83
2019-06-02,99
2019-06-09,93
2019-06-16,84
2019-06-23,88
2019-06-30,81
2019-07-07,78
2019-07-14,72
2019-07-21,63
2019-07-28,72
2019-08-04,68
2019-08-11,70
2019-08-18,79
2019-08-25,77
2019-09-01,89
2019-09-08,85
2019-09-15,88
2019-09-22,87
2019-09-29,90
2019-10-06,86
2019-10-13,87
2019-10-20,85
2019-10-27,91
2019-11-03,96
2019-11-10,95
2019-11-17,92
2019-11-24,84
2019-12-01,88
2019-12-08,90
2019-12-15,92
2019-12-22,67
2019-12-29,84
2020-01-05,99
2020-01-12,100
2020-01-19,97
2020-01-26,94
2020-02-02,93
2020-02-09,98
2020-02-16,97
2020-02-23,84
2020-03-01,95
2020-03-08,81
2020-03-15,84
2020-03-22,85
2020-03-29,87
2020-04-05,85
