Categoría: Escépticos y no creyentes

Día,Geo: Austria
2018-12-30,54
2018-12-31,31
2019-01-01,40
2019-01-02,38
2019-01-03,44
2019-01-04,38
2019-01-05,41
2019-01-06,46
2019-01-07,45
2019-01-08,48
2019-01-09,54
2019-01-10,40
2019-01-11,45
2019-01-12,31
2019-01-13,50
2019-01-14,46
2019-01-15,47
2019-01-16,63
2019-01-17,53
2019-01-18,51
2019-01-19,43
2019-01-20,41
2019-01-21,54
2019-01-22,60
2019-01-23,55
2019-01-24,51
2019-01-25,45
2019-01-26,39
2019-01-27,62
2019-01-28,67
2019-01-29,55
2019-01-30,58
2019-01-31,50
2019-02-01,49
2019-02-02,35
2019-02-03,36
2019-02-04,40
2019-02-05,44
2019-02-06,47
2019-02-07,43
2019-02-08,42
2019-02-09,39
2019-02-10,46
2019-02-11,49
2019-02-12,49
2019-02-13,43
2019-02-14,36
2019-02-15,38
2019-02-16,31
2019-02-17,33
2019-02-18,32
2019-02-19,46
2019-02-20,45
2019-02-21,43
2019-02-22,36
2019-02-23,39
2019-02-24,44
2019-02-25,74
2019-02-26,48
2019-02-27,47
2019-02-28,48
2019-03-01,45
2019-03-02,35
2019-03-03,56
2019-03-04,56
2019-03-05,100
2019-03-06,65
2019-03-07,50
2019-03-08,44
2019-03-09,45
2019-03-10,49
2019-03-11,45
2019-03-12,46
2019-03-13,46
2019-03-14,46
2019-03-15,43
2019-03-16,41
2019-03-17,38
2019-03-18,50
2019-03-19,49
2019-03-20,46
2019-03-21,35
2019-03-22,44
2019-03-23,37
2019-03-24,37
2019-03-25,48
2019-03-26,55
2019-03-27,45
2019-03-28,44
2019-03-29,39
2019-03-30,37
2019-03-31,27
2019-04-01,39
2019-04-02,40
2019-04-03,45
2019-04-04,43
2019-04-05,49
2019-04-06,32
2019-04-07,31
2019-04-08,39
2019-04-09,41
2019-04-10,48
