Categoría: Escépticos y no creyentes

Día,Geo: Bélgica
2019-12-30,32
2019-12-31,52
2020-01-01,49
2020-01-02,44
2020-01-03,36
2020-01-04,46
2020-01-05,50
2020-01-06,39
2020-01-07,51
2020-01-08,46
2020-01-09,47
2020-01-10,57
2020-01-11,49
2020-01-12,73
2020-01-13,49
2020-01-14,49
2020-01-15,52
2020-01-16,45
2020-01-17,38
2020-01-18,43
2020-01-19,53
2020-01-20,59
2020-01-21,53
2020-01-22,53
2020-01-23,41
2020-01-24,31
2020-01-25,31
2020-01-26,75
2020-01-27,47
2020-01-28,48
2020-01-29,47
2020-01-30,59
2020-01-31,42
2020-02-01,47
2020-02-02,38
2020-02-03,49
2020-02-04,100
2020-02-05,93
2020-02-06,44
2020-02-07,44
2020-02-08,53
2020-02-09,63
2020-02-10,62
2020-02-11,52
2020-02-12,50
2020-02-13,45
2020-02-14,40
2020-02-15,35
2020-02-16,49
2020-02-17,55
2020-02-18,54
2020-02-19,38
2020-02-20,58
2020-02-21,53
2020-02-22,36
2020-02-23,50
2020-02-24,35
2020-02-25,46
2020-02-26,37
2020-02-27,39
2020-02-28,42
2020-02-29,30
2020-03-01,49
2020-03-02,59
2020-03-03,42
2020-03-04,39
2020-03-05,48
2020-03-06,56
2020-03-07,40
2020-03-08,36
2020-03-09,45
2020-03-10,38
2020-03-11,47
2020-03-12,38
2020-03-13,29
2020-03-14,36
2020-03-15,35
2020-03-16,39
2020-03-17,32
2020-03-18,38
2020-03-19,48
2020-03-20,36
2020-03-21,56
2020-03-22,55
2020-03-23,38
2020-03-24,47
2020-03-25,46
2020-03-26,53
2020-03-27,90
2020-03-28,44
2020-03-29,60
2020-03-30,49
2020-03-31,39
2020-04-01,46
2020-04-02,55
2020-04-03,55
2020-04-04,50
2020-04-05,48
2020-04-06,49
2020-04-07,48
