Categoría: Escépticos y no creyentes

Día,Geo: Suiza
2019-12-30,69
2019-12-31,50
2020-01-01,60
2020-01-02,52
2020-01-03,45
2020-01-04,59
2020-01-05,62
2020-01-06,58
2020-01-07,61
2020-01-08,56
2020-01-09,64
2020-01-10,58
2020-01-11,60
2020-01-12,61
2020-01-13,62
2020-01-14,57
2020-01-15,59
2020-01-16,61
2020-01-17,58
2020-01-18,41
2020-01-19,55
2020-01-20,56
2020-01-21,55
2020-01-22,50
2020-01-23,57
2020-01-24,64
2020-01-25,42
2020-01-26,80
2020-01-27,47
2020-01-28,57
2020-01-29,72
2020-01-30,58
2020-01-31,51
2020-02-01,46
2020-02-02,44
2020-02-03,57
2020-02-04,100
2020-02-05,68
2020-02-06,51
2020-02-07,49
2020-02-08,27
2020-02-09,39
2020-02-10,57
2020-02-11,58
2020-02-12,71
2020-02-13,52
2020-02-14,41
2020-02-15,53
2020-02-16,64
2020-02-17,59
2020-02-18,69
2020-02-19,56
2020-02-20,55
2020-02-21,55
2020-02-22,35
2020-02-23,52
2020-02-24,59
2020-02-25,50
2020-02-26,52
2020-02-27,46
2020-02-28,45
2020-02-29,47
2020-03-01,39
2020-03-02,46
2020-03-03,63
2020-03-04,52
2020-03-05,84
2020-03-06,60
2020-03-07,33
2020-03-08,55
2020-03-09,58
2020-03-10,55
2020-03-11,53
2020-03-12,63
2020-03-13,46
2020-03-14,43
2020-03-15,43
2020-03-16,48
2020-03-17,32
2020-03-18,62
2020-03-19,54
2020-03-20,54
2020-03-21,53
2020-03-22,70
2020-03-23,60
2020-03-24,60
2020-03-25,50
2020-03-26,67
2020-03-27,65
2020-03-28,56
2020-03-29,70
2020-03-30,51
2020-03-31,70
2020-04-01,64
2020-04-02,62
2020-04-03,61
2020-04-04,57
2020-04-05,54
2020-04-06,53
2020-04-07,53
