Categoría: Escépticos y no creyentes

Día,Geo: Reino Unido
2019-12-30,5
2019-12-31,5
2020-01-01,5
2020-01-02,5
2020-01-03,5
2020-01-04,5
2020-01-05,4
2020-01-06,5
2020-01-07,5
2020-01-08,4
2020-01-09,5
2020-01-10,5
2020-01-11,5
2020-01-12,5
2020-01-13,5
2020-01-14,5
2020-01-15,5
2020-01-16,5
2020-01-17,5
2020-01-18,5
2020-01-19,5
2020-01-20,5
2020-01-21,5
2020-01-22,5
2020-01-23,5
2020-01-24,6
2020-01-25,7
2020-01-26,43
2020-01-27,9
2020-01-28,6
2020-01-29,5
2020-01-30,5
2020-01-31,5
2020-02-01,6
2020-02-02,6
2020-02-03,9
2020-02-04,100
2020-02-05,24
2020-02-06,6
2020-02-07,5
2020-02-08,5
2020-02-09,5
2020-02-10,5
2020-02-11,6
2020-02-12,5
2020-02-13,5
2020-02-14,5
2020-02-15,6
2020-02-16,6
2020-02-17,6
2020-02-18,6
2020-02-19,6
2020-02-20,6
2020-02-21,5
2020-02-22,5
2020-02-23,5
2020-02-24,7
2020-02-25,7
2020-02-26,6
2020-02-27,5
2020-02-28,5
2020-02-29,5
2020-03-01,4
2020-03-02,5
2020-03-03,4
2020-03-04,5
2020-03-05,4
2020-03-06,5
2020-03-07,5
2020-03-08,4
2020-03-09,4
2020-03-10,5
2020-03-11,4
2020-03-12,4
2020-03-13,4
2020-03-14,4
2020-03-15,5
2020-03-16,4
2020-03-17,4
2020-03-18,4
2020-03-19,4
2020-03-20,4
2020-03-21,4
2020-03-22,3
2020-03-23,4
2020-03-24,3
2020-03-25,3
2020-03-26,3
2020-03-27,3
2020-03-28,3
2020-03-29,4
2020-03-30,3
2020-03-31,3
2020-04-01,3
2020-04-02,3
2020-04-03,3
2020-04-04,3
2020-04-05,3
2020-04-06,3
2020-04-07,3
