Categoría: Escépticos y no creyentes

Día,Geo: Alemania
2019-12-30,47
2019-12-31,41
2020-01-01,55
2020-01-02,56
2020-01-03,59
2020-01-04,53
2020-01-05,62
2020-01-06,67
2020-01-07,70
2020-01-08,67
2020-01-09,66
2020-01-10,67
2020-01-11,53
2020-01-12,69
2020-01-13,73
2020-01-14,69
2020-01-15,67
2020-01-16,68
2020-01-17,55
2020-01-18,56
2020-01-19,58
2020-01-20,72
2020-01-21,68
2020-01-22,72
2020-01-23,65
2020-01-24,64
2020-01-25,53
2020-01-26,72
2020-01-27,72
2020-01-28,74
2020-01-29,69
2020-01-30,64
2020-01-31,68
2020-02-01,54
2020-02-02,67
2020-02-03,68
2020-02-04,100
2020-02-05,77
2020-02-06,67
2020-02-07,65
2020-02-08,51
2020-02-09,57
2020-02-10,70
2020-02-11,70
2020-02-12,77
2020-02-13,66
2020-02-14,61
2020-02-15,51
2020-02-16,56
2020-02-17,65
2020-02-18,68
2020-02-19,63
2020-02-20,63
2020-02-21,52
2020-02-22,52
2020-02-23,65
2020-02-24,59
2020-02-25,64
2020-02-26,61
2020-02-27,57
2020-02-28,60
2020-02-29,51
2020-03-01,55
2020-03-02,67
2020-03-03,66
2020-03-04,59
2020-03-05,60
2020-03-06,59
2020-03-07,50
2020-03-08,67
2020-03-09,68
2020-03-10,62
2020-03-11,65
2020-03-12,65
2020-03-13,57
2020-03-14,47
2020-03-15,53
2020-03-16,59
2020-03-17,63
2020-03-18,61
2020-03-19,64
2020-03-20,62
2020-03-21,58
2020-03-22,56
2020-03-23,68
2020-03-24,71
2020-03-25,69
2020-03-26,66
2020-03-27,63
2020-03-28,49
2020-03-29,66
2020-03-30,72
2020-03-31,60
2020-04-01,62
2020-04-02,61
2020-04-03,61
2020-04-04,53
2020-04-05,53
2020-04-06,58
2020-04-07,58
