Categoría: Escépticos y no creyentes

Día,Geo: Italia
2019-12-30,40
2019-12-31,34
2020-01-01,42
2020-01-02,46
2020-01-03,46
2020-01-04,38
2020-01-05,49
2020-01-06,45
2020-01-07,65
2020-01-08,58
2020-01-09,57
2020-01-10,56
2020-01-11,47
2020-01-12,51
2020-01-13,62
2020-01-14,61
2020-01-15,55
2020-01-16,66
2020-01-17,54
2020-01-18,47
2020-01-19,53
2020-01-20,64
2020-01-21,63
2020-01-22,59
2020-01-23,59
2020-01-24,60
2020-01-25,52
2020-01-26,64
2020-01-27,67
2020-01-28,71
2020-01-29,65
2020-01-30,64
2020-01-31,57
2020-02-01,56
2020-02-02,56
2020-02-03,68
2020-02-04,83
2020-02-05,68
2020-02-06,69
2020-02-07,58
2020-02-08,46
2020-02-09,47
2020-02-10,58
2020-02-11,73
2020-02-12,70
2020-02-13,60
2020-02-14,54
2020-02-15,48
2020-02-16,53
2020-02-17,65
2020-02-18,64
2020-02-19,69
2020-02-20,69
2020-02-21,57
2020-02-22,47
2020-02-23,85
2020-02-24,96
2020-02-25,71
2020-02-26,59
2020-02-27,53
2020-02-28,58
2020-02-29,51
2020-03-01,57
2020-03-02,90
2020-03-03,59
2020-03-04,55
2020-03-05,48
2020-03-06,50
2020-03-07,37
2020-03-08,41
2020-03-09,49
2020-03-10,56
2020-03-11,54
2020-03-12,56
2020-03-13,54
2020-03-14,54
2020-03-15,56
2020-03-16,57
2020-03-17,60
2020-03-18,58
2020-03-19,54
2020-03-20,62
2020-03-21,61
2020-03-22,53
2020-03-23,62
2020-03-24,55
2020-03-25,63
2020-03-26,61
2020-03-27,79
2020-03-28,100
2020-03-29,58
2020-03-30,65
2020-03-31,60
2020-04-01,58
2020-04-02,63
2020-04-03,61
2020-04-04,55
2020-04-05,63
2020-04-06,58
2020-04-07,59
