Categoría: Escépticos y no creyentes

Día,Geo: Países Bajos
2019-12-30,21
2019-12-31,18
2020-01-01,17
2020-01-02,15
2020-01-03,19
2020-01-04,17
2020-01-05,17
2020-01-06,18
2020-01-07,16
2020-01-08,17
2020-01-09,17
2020-01-10,16
2020-01-11,13
2020-01-12,21
2020-01-13,18
2020-01-14,20
2020-01-15,18
2020-01-16,15
2020-01-17,20
2020-01-18,18
2020-01-19,20
2020-01-20,18
2020-01-21,19
2020-01-22,25
2020-01-23,19
2020-01-24,14
2020-01-25,16
2020-01-26,22
2020-01-27,17
2020-01-28,13
2020-01-29,14
2020-01-30,13
2020-01-31,19
2020-02-01,14
2020-02-02,24
2020-02-03,18
2020-02-04,32
2020-02-05,17
2020-02-06,18
2020-02-07,16
2020-02-08,17
2020-02-09,17
2020-02-10,15
2020-02-11,16
2020-02-12,19
2020-02-13,20
2020-02-14,16
2020-02-15,19
2020-02-16,21
2020-02-17,18
2020-02-18,19
2020-02-19,16
2020-02-20,17
2020-02-21,17
2020-02-22,18
2020-02-23,20
2020-02-24,14
2020-02-25,16
2020-02-26,14
2020-02-27,15
2020-02-28,13
2020-02-29,14
2020-03-01,16
2020-03-02,17
2020-03-03,14
2020-03-04,19
2020-03-05,18
2020-03-06,16
2020-03-07,16
2020-03-08,21
2020-03-09,15
2020-03-10,21
2020-03-11,15
2020-03-12,16
2020-03-13,15
2020-03-14,14
2020-03-15,12
2020-03-16,13
2020-03-17,12
2020-03-18,15
2020-03-19,16
2020-03-20,17
2020-03-21,17
2020-03-22,20
2020-03-23,15
2020-03-24,17
2020-03-25,14
2020-03-26,18
2020-03-27,100
2020-03-28,59
2020-03-29,56
2020-03-30,23
2020-03-31,17
2020-04-01,18
2020-04-02,19
2020-04-03,19
2020-04-04,19
2020-04-05,22
2020-04-06,21
2020-04-07,19
