Categoría: Escépticos y no creyentes

Semana,Geo: Bélgica
2018-12-30,63
2019-01-06,77
2019-01-13,100
2019-01-20,73
2019-01-27,67
2019-02-03,67
2019-02-10,63
2019-02-17,67
2019-02-24,60
2019-03-03,57
2019-03-10,65
2019-03-17,64
2019-03-24,67
2019-03-31,65
2019-04-07,59
2019-04-14,56
2019-04-21,66
2019-04-28,64
2019-05-05,73
2019-05-12,74
2019-05-19,69
2019-05-26,73
2019-06-02,72
2019-06-09,77
2019-06-16,71
2019-06-23,54
2019-06-30,50
2019-07-07,45
2019-07-14,52
2019-07-21,50
2019-07-28,51
2019-08-04,54
2019-08-11,58
2019-08-18,55
2019-08-25,58
2019-09-01,58
2019-09-08,64
2019-09-15,65
2019-09-22,67
2019-09-29,66
2019-10-06,60
2019-10-13,66
2019-10-20,68
2019-10-27,54
2019-11-03,62
2019-11-10,69
2019-11-17,69
2019-11-24,72
2019-12-01,62
2019-12-08,74
2019-12-15,69
2019-12-22,62
2019-12-29,65
2020-01-05,74
2020-01-12,70
2020-01-19,66
2020-01-26,75
2020-02-02,85
2020-02-09,70
2020-02-16,68
2020-02-23,58
2020-03-01,68
2020-03-08,56
2020-03-15,59
2020-03-22,74
2020-03-29,71
2020-04-05,67
