Categoría: Escépticos y no creyentes

Semana,Geo: Francia
2018-12-30,81
2019-01-06,88
2019-01-13,81
2019-01-20,86
2019-01-27,87
2019-02-03,75
2019-02-10,76
2019-02-17,81
2019-02-24,73
2019-03-03,79
2019-03-10,80
2019-03-17,79
2019-03-24,88
2019-03-31,76
2019-04-07,75
2019-04-14,87
2019-04-21,83
2019-04-28,80
2019-05-05,79
2019-05-12,82
2019-05-19,78
2019-05-26,69
2019-06-02,74
2019-06-09,77
2019-06-16,92
2019-06-23,68
2019-06-30,70
2019-07-07,61
2019-07-14,66
2019-07-21,64
2019-07-28,65
2019-08-04,91
2019-08-11,64
2019-08-18,65
2019-08-25,64
2019-09-01,70
2019-09-08,75
2019-09-15,76
2019-09-22,83
2019-09-29,81
2019-10-06,79
2019-10-13,84
2019-10-20,73
2019-10-27,86
2019-11-03,87
2019-11-10,85
2019-11-17,83
2019-11-24,82
2019-12-01,78
2019-12-08,78
2019-12-15,77
2019-12-22,74
2019-12-29,78
2020-01-05,84
2020-01-12,76
2020-01-19,78
2020-01-26,90
2020-02-02,100
2020-02-09,79
2020-02-16,72
2020-02-23,73
2020-03-01,80
2020-03-08,78
2020-03-15,77
2020-03-22,89
2020-03-29,96
2020-04-05,83
