Categoría: Escépticos y no creyentes

Semana,Geo: Irlanda
2018-12-30,8
2019-01-06,10
2019-01-13,8
2019-01-20,8
2019-01-27,9
2019-02-03,7
2019-02-10,9
2019-02-17,10
2019-02-24,10
2019-03-03,9
2019-03-10,9
2019-03-17,8
2019-03-24,9
2019-03-31,9
2019-04-07,8
2019-04-14,11
2019-04-21,8
2019-04-28,8
2019-05-05,8
2019-05-12,7
2019-05-19,7
2019-05-26,7
2019-06-02,5
2019-06-09,9
2019-06-16,8
2019-06-23,6
2019-06-30,8
2019-07-07,8
2019-07-14,9
2019-07-21,8
2019-07-28,9
2019-08-04,9
2019-08-11,6
2019-08-18,8
2019-08-25,8
2019-09-01,8
2019-09-08,9
2019-09-15,8
2019-09-22,8
2019-09-29,8
2019-10-06,9
2019-10-13,7
2019-10-20,9
2019-10-27,10
2019-11-03,8
2019-11-10,9
2019-11-17,7
2019-11-24,9
2019-12-01,9
2019-12-08,9
2019-12-15,9
2019-12-22,6
2019-12-29,9
2020-01-05,8
2020-01-12,8
2020-01-19,9
2020-01-26,35
2020-02-02,100
2020-02-09,10
2020-02-16,8
2020-02-23,8
2020-03-01,11
2020-03-08,13
2020-03-15,8
2020-03-22,9
2020-03-29,9
2020-04-05,9
