Categoría: Espiritualidad

Día,Geo: Reino Unido
2018-12-30,88
2018-12-31,80
2019-01-01,91
2019-01-02,81
2019-01-03,84
2019-01-04,87
2019-01-05,86
2019-01-06,87
2019-01-07,86
2019-01-08,99
2019-01-09,84
2019-01-10,90
2019-01-11,82
2019-01-12,86
2019-01-13,91
2019-01-14,90
2019-01-15,87
2019-01-16,91
2019-01-17,93
2019-01-18,88
2019-01-19,86
2019-01-20,89
2019-01-21,90
2019-01-22,95
2019-01-23,81
2019-01-24,84
2019-01-25,80
2019-01-26,72
2019-01-27,100
2019-01-28,89
2019-01-29,81
2019-01-30,92
2019-01-31,92
2019-02-01,88
2019-02-02,82
2019-02-03,96
2019-02-04,95
2019-02-05,95
2019-02-06,90
2019-02-07,90
2019-02-08,87
2019-02-09,76
2019-02-10,97
2019-02-11,89
2019-02-12,90
2019-02-13,82
2019-02-14,89
2019-02-15,76
2019-02-16,82
2019-02-17,87
2019-02-18,82
2019-02-19,79
2019-02-20,72
2019-02-21,86
2019-02-22,74
2019-02-23,81
2019-02-24,85
2019-02-25,82
2019-02-26,76
2019-02-27,79
2019-02-28,88
2019-03-01,86
2019-03-02,85
2019-03-03,93
2019-03-04,91
2019-03-05,97
2019-03-06,96
2019-03-07,83
2019-03-08,85
2019-03-09,82
2019-03-10,91
2019-03-11,89
2019-03-12,87
2019-03-13,84
2019-03-14,87
2019-03-15,76
2019-03-16,76
2019-03-17,96
2019-03-18,82
2019-03-19,88
2019-03-20,83
2019-03-21,81
2019-03-22,84
2019-03-23,83
2019-03-24,85
2019-03-25,83
2019-03-26,93
2019-03-27,82
2019-03-28,84
2019-03-29,79
2019-03-30,73
2019-03-31,82
2019-04-01,80
2019-04-02,83
2019-04-03,84
2019-04-04,80
2019-04-05,84
2019-04-06,81
2019-04-07,87
2019-04-08,75
2019-04-09,84
2019-04-10,73
