Categoría: Espiritualidad

Día,Geo: Alemania
2018-12-30,97
2018-12-31,71
2019-01-01,90
2019-01-02,78
2019-01-03,71
2019-01-04,82
2019-01-05,80
2019-01-06,89
2019-01-07,75
2019-01-08,72
2019-01-09,74
2019-01-10,73
2019-01-11,75
2019-01-12,74
2019-01-13,90
2019-01-14,79
2019-01-15,78
2019-01-16,74
2019-01-17,93
2019-01-18,88
2019-01-19,83
2019-01-20,82
2019-01-21,78
2019-01-22,83
2019-01-23,83
2019-01-24,83
2019-01-25,74
2019-01-26,88
2019-01-27,91
2019-01-28,80
2019-01-29,76
2019-01-30,84
2019-01-31,87
2019-02-01,86
2019-02-02,97
2019-02-03,93
2019-02-04,76
2019-02-05,73
2019-02-06,70
2019-02-07,77
2019-02-08,81
2019-02-09,89
2019-02-10,100
2019-02-11,79
2019-02-12,70
2019-02-13,73
2019-02-14,68
2019-02-15,72
2019-02-16,71
2019-02-17,84
2019-02-18,68
2019-02-19,69
2019-02-20,72
2019-02-21,74
2019-02-22,71
2019-02-23,67
2019-02-24,73
2019-02-25,68
2019-02-26,69
2019-02-27,68
2019-02-28,65
2019-03-01,68
2019-03-02,76
2019-03-03,82
2019-03-04,81
2019-03-05,74
2019-03-06,66
2019-03-07,69
2019-03-08,70
2019-03-09,78
2019-03-10,85
2019-03-11,78
2019-03-12,76
2019-03-13,71
2019-03-14,75
2019-03-15,82
2019-03-16,79
2019-03-17,92
2019-03-18,80
2019-03-19,76
2019-03-20,79
2019-03-21,86
2019-03-22,79
2019-03-23,79
2019-03-24,95
2019-03-25,85
2019-03-26,68
2019-03-27,72
2019-03-28,74
2019-03-29,77
2019-03-30,69
2019-03-31,81
2019-04-01,76
2019-04-02,75
2019-04-03,78
2019-04-04,80
2019-04-05,85
2019-04-06,75
2019-04-07,77
2019-04-08,76
2019-04-09,83
2019-04-10,74
