Categoría: Espiritualidad

Día,Geo: Portugal
2018-12-30,65
2018-12-31,50
2019-01-01,58
2019-01-02,68
2019-01-03,77
2019-01-04,68
2019-01-05,65
2019-01-06,75
2019-01-07,57
2019-01-08,72
2019-01-09,67
2019-01-10,70
2019-01-11,61
2019-01-12,68
2019-01-13,69
2019-01-14,61
2019-01-15,71
2019-01-16,85
2019-01-17,58
2019-01-18,68
2019-01-19,56
2019-01-20,72
2019-01-21,65
2019-01-22,73
2019-01-23,80
2019-01-24,57
2019-01-25,66
2019-01-26,75
2019-01-27,76
2019-01-28,58
2019-01-29,92
2019-01-30,74
2019-01-31,68
2019-02-01,78
2019-02-02,67
2019-02-03,80
2019-02-04,66
2019-02-05,66
2019-02-06,67
2019-02-07,69
2019-02-08,74
2019-02-09,64
2019-02-10,100
2019-02-11,72
2019-02-12,62
2019-02-13,70
2019-02-14,67
2019-02-15,66
2019-02-16,73
2019-02-17,86
2019-02-18,78
2019-02-19,90
2019-02-20,69
2019-02-21,83
2019-02-22,68
2019-02-23,74
2019-02-24,63
2019-02-25,67
2019-02-26,75
2019-02-27,72
2019-02-28,81
2019-03-01,61
2019-03-02,68
2019-03-03,65
2019-03-04,72
2019-03-05,77
2019-03-06,89
2019-03-07,68
2019-03-08,75
2019-03-09,78
2019-03-10,70
2019-03-11,65
2019-03-12,81
2019-03-13,65
2019-03-14,71
2019-03-15,76
2019-03-16,64
2019-03-17,79
2019-03-18,81
2019-03-19,71
2019-03-20,78
2019-03-21,83
2019-03-22,71
2019-03-23,64
2019-03-24,78
2019-03-25,74
2019-03-26,77
2019-03-27,68
2019-03-28,84
2019-03-29,73
2019-03-30,78
2019-03-31,72
2019-04-01,80
2019-04-02,76
2019-04-03,73
2019-04-04,81
2019-04-05,70
2019-04-06,87
2019-04-07,85
2019-04-08,73
2019-04-09,72
2019-04-10,84
