Categoría: Espiritualidad

Día,Geo: España
2018-12-30,82
2018-12-31,78
2019-01-01,89
2019-01-02,82
2019-01-03,73
2019-01-04,81
2019-01-05,73
2019-01-06,77
2019-01-07,76
2019-01-08,77
2019-01-09,77
2019-01-10,80
2019-01-11,77
2019-01-12,80
2019-01-13,93
2019-01-14,74
2019-01-15,75
2019-01-16,86
2019-01-17,78
2019-01-18,78
2019-01-19,80
2019-01-20,97
2019-01-21,82
2019-01-22,88
2019-01-23,85
2019-01-24,81
2019-01-25,83
2019-01-26,76
2019-01-27,91
2019-01-28,86
2019-01-29,82
2019-01-30,88
2019-01-31,79
2019-02-01,96
2019-02-02,82
2019-02-03,86
2019-02-04,77
2019-02-05,83
2019-02-06,85
2019-02-07,76
2019-02-08,74
2019-02-09,78
2019-02-10,100
2019-02-11,82
2019-02-12,91
2019-02-13,84
2019-02-14,88
2019-02-15,80
2019-02-16,78
2019-02-17,95
2019-02-18,89
2019-02-19,85
2019-02-20,78
2019-02-21,85
2019-02-22,81
2019-02-23,80
2019-02-24,90
2019-02-25,84
2019-02-26,86
2019-02-27,87
2019-02-28,85
2019-03-01,90
2019-03-02,74
2019-03-03,93
2019-03-04,80
2019-03-05,83
2019-03-06,84
2019-03-07,82
2019-03-08,78
2019-03-09,80
2019-03-10,79
2019-03-11,81
2019-03-12,81
2019-03-13,79
2019-03-14,83
2019-03-15,82
2019-03-16,87
2019-03-17,87
2019-03-18,87
2019-03-19,79
2019-03-20,82
2019-03-21,89
2019-03-22,81
2019-03-23,85
2019-03-24,87
2019-03-25,89
2019-03-26,90
2019-03-27,90
2019-03-28,84
2019-03-29,82
2019-03-30,85
2019-03-31,89
2019-04-01,89
2019-04-02,81
2019-04-03,82
2019-04-04,83
2019-04-05,84
2019-04-06,88
2019-04-07,96
2019-04-08,86
2019-04-09,82
2019-04-10,85
