Categoría: Espiritualidad

Semana,Geo: Francia
2018-12-30,89
2019-01-06,80
2019-01-13,83
2019-01-20,100
2019-01-27,87
2019-02-03,87
2019-02-10,84
2019-02-17,85
2019-02-24,83
2019-03-03,88
2019-03-10,92
2019-03-17,83
2019-03-24,82
2019-03-31,96
2019-04-07,90
2019-04-14,87
2019-04-21,84
2019-04-28,89
2019-05-05,88
2019-05-12,85
2019-05-19,80
2019-05-26,83
2019-06-02,86
2019-06-09,96
2019-06-16,78
2019-06-23,76
2019-06-30,83
2019-07-07,88
2019-07-14,91
2019-07-21,81
2019-07-28,80
2019-08-04,82
2019-08-11,84
2019-08-18,88
2019-08-25,85
2019-09-01,86
2019-09-08,85
2019-09-15,82
2019-09-22,95
2019-09-29,95
2019-10-06,85
2019-10-13,86
2019-10-20,85
2019-10-27,80
2019-11-03,90
2019-11-10,84
2019-11-17,90
2019-11-24,89
2019-12-01,86
2019-12-08,92
2019-12-15,87
2019-12-22,86
2019-12-29,91
2020-01-05,96
2020-01-12,87
2020-01-19,90
2020-01-26,86
2020-02-02,87
2020-02-09,91
2020-02-16,89
2020-02-23,83
2020-03-01,87
2020-03-08,80
2020-03-15,85
2020-03-22,98
2020-03-29,98
2020-04-05,98
