Categoría: Espiritualidad

Semana,Geo: Alemania
2018-12-30,100
2019-01-06,92
2019-01-13,97
2019-01-20,98
2019-01-27,100
2019-02-03,89
2019-02-10,90
2019-02-17,84
2019-02-24,84
2019-03-03,85
2019-03-10,95
2019-03-17,93
2019-03-24,95
2019-03-31,95
2019-04-07,95
2019-04-14,85
2019-04-21,99
2019-04-28,96
2019-05-05,92
2019-05-12,88
2019-05-19,89
2019-05-26,89
2019-06-02,87
2019-06-09,89
2019-06-16,84
2019-06-23,83
2019-06-30,89
2019-07-07,87
2019-07-14,91
2019-07-21,86
2019-07-28,86
2019-08-04,82
2019-08-11,84
2019-08-18,95
2019-08-25,81
2019-09-01,89
2019-09-08,82
2019-09-15,83
2019-09-22,97
2019-09-29,88
2019-10-06,86
2019-10-13,83
2019-10-20,85
2019-10-27,78
2019-11-03,94
2019-11-10,87
2019-11-17,89
2019-11-24,98
2019-12-01,83
2019-12-08,95
2019-12-15,89
2019-12-22,82
2019-12-29,93
2020-01-05,91
2020-01-12,88
2020-01-19,94
2020-01-26,87
2020-02-02,91
2020-02-09,88
2020-02-16,89
2020-02-23,87
2020-03-01,81
2020-03-08,85
2020-03-15,88
2020-03-22,91
2020-03-29,86
2020-04-05,83
