Categoría: Espiritualidad

Semana,Geo: Portugal
2018-12-30,51
2019-01-06,52
2019-01-13,51
2019-01-20,54
2019-01-27,57
2019-02-03,53
2019-02-10,56
2019-02-17,59
2019-02-24,53
2019-03-03,57
2019-03-10,55
2019-03-17,58
2019-03-24,58
2019-03-31,58
2019-04-07,58
2019-04-14,57
2019-04-21,59
2019-04-28,53
2019-05-05,61
2019-05-12,58
2019-05-19,60
2019-05-26,59
2019-06-02,60
2019-06-09,61
2019-06-16,59
2019-06-23,58
2019-06-30,59
2019-07-07,58
2019-07-14,65
2019-07-21,58
2019-07-28,59
2019-08-04,56
2019-08-11,56
2019-08-18,58
2019-08-25,69
2019-09-01,58
2019-09-08,55
2019-09-15,61
2019-09-22,62
2019-09-29,57
2019-10-06,58
2019-10-13,60
2019-10-20,56
2019-10-27,57
2019-11-03,57
2019-11-10,58
2019-11-17,56
2019-11-24,55
2019-12-01,100
2019-12-08,54
2019-12-15,54
2019-12-22,53
2019-12-29,60
2020-01-05,59
2020-01-12,59
2020-01-19,57
2020-01-26,61
2020-02-02,59
2020-02-09,60
2020-02-16,65
2020-02-23,54
2020-03-01,61
2020-03-08,61
2020-03-15,65
2020-03-22,71
2020-03-29,69
2020-04-05,72
