Categoría: Espiritualidad

Semana,Geo: España
2018-12-30,66
2019-01-06,65
2019-01-13,66
2019-01-20,73
2019-01-27,74
2019-02-03,66
2019-02-10,71
2019-02-17,71
2019-02-24,69
2019-03-03,71
2019-03-10,69
2019-03-17,68
2019-03-24,71
2019-03-31,69
2019-04-07,73
2019-04-14,78
2019-04-21,70
2019-04-28,72
2019-05-05,66
2019-05-12,65
2019-05-19,70
2019-05-26,70
2019-06-02,66
2019-06-09,70
2019-06-16,68
2019-06-23,63
2019-06-30,64
2019-07-07,60
2019-07-14,67
2019-07-21,68
2019-07-28,64
2019-08-04,63
2019-08-11,65
2019-08-18,65
2019-08-25,71
2019-09-01,71
2019-09-08,67
2019-09-15,70
2019-09-22,71
2019-09-29,71
2019-10-06,71
2019-10-13,86
2019-10-20,67
2019-10-27,67
2019-11-03,68
2019-11-10,67
2019-11-17,67
2019-11-24,66
2019-12-01,61
2019-12-08,62
2019-12-15,77
2019-12-22,74
2019-12-29,63
2020-01-05,65
2020-01-12,71
2020-01-19,69
2020-01-26,66
2020-02-02,67
2020-02-09,68
2020-02-16,71
2020-02-23,67
2020-03-01,68
2020-03-08,64
2020-03-15,71
2020-03-22,82
2020-03-29,96
2020-04-05,100
