Categoría: Estudios religiosos y teología

Día,Geo: Suiza
2018-12-30,56
2018-12-31,0
2019-01-01,64
2019-01-02,0
2019-01-03,0
2019-01-04,0
2019-01-05,71
2019-01-06,45
2019-01-07,0
2019-01-08,49
2019-01-09,82
2019-01-10,0
2019-01-11,51
2019-01-12,57
2019-01-13,67
2019-01-14,67
2019-01-15,75
2019-01-16,67
2019-01-17,63
2019-01-18,0
2019-01-19,0
2019-01-20,46
2019-01-21,46
2019-01-22,100
2019-01-23,51
2019-01-24,64
2019-01-25,49
2019-01-26,0
2019-01-27,52
2019-01-28,41
2019-01-29,58
2019-01-30,43
2019-01-31,69
2019-02-01,58
2019-02-02,44
2019-02-03,70
2019-02-04,0
2019-02-05,75
2019-02-06,68
2019-02-07,0
2019-02-08,87
2019-02-09,59
2019-02-10,53
2019-02-11,0
2019-02-12,0
2019-02-13,59
2019-02-14,0
2019-02-15,0
2019-02-16,0
2019-02-17,0
2019-02-18,72
2019-02-19,57
2019-02-20,75
2019-02-21,57
2019-02-22,0
2019-02-23,0
2019-02-24,53
2019-02-25,0
2019-02-26,40
2019-02-27,0
2019-02-28,0
2019-03-01,0
2019-03-02,60
2019-03-03,97
2019-03-04,0
2019-03-05,63
2019-03-06,55
2019-03-07,74
2019-03-08,96
2019-03-09,0
2019-03-10,53
2019-03-11,0
2019-03-12,44
2019-03-13,52
2019-03-14,57
2019-03-15,41
2019-03-16,0
2019-03-17,52
2019-03-18,55
2019-03-19,37
2019-03-20,66
2019-03-21,47
2019-03-22,52
2019-03-23,46
2019-03-24,0
2019-03-25,95
2019-03-26,39
2019-03-27,78
2019-03-28,44
2019-03-29,0
2019-03-30,0
2019-03-31,65
2019-04-01,57
2019-04-02,53
2019-04-03,43
2019-04-04,58
2019-04-05,0
2019-04-06,0
2019-04-07,62
2019-04-08,0
2019-04-09,55
2019-04-10,0
