Categoría: Estudios religiosos y teología

Día,Geo: Alemania
2019-12-30,53
2019-12-31,69
2020-01-01,57
2020-01-02,66
2020-01-03,55
2020-01-04,57
2020-01-05,79
2020-01-06,73
2020-01-07,80
2020-01-08,73
2020-01-09,89
2020-01-10,83
2020-01-11,64
2020-01-12,75
2020-01-13,82
2020-01-14,70
2020-01-15,84
2020-01-16,79
2020-01-17,72
2020-01-18,78
2020-01-19,88
2020-01-20,77
2020-01-21,94
2020-01-22,66
2020-01-23,65
2020-01-24,75
2020-01-25,81
2020-01-26,91
2020-01-27,79
2020-01-28,89
2020-01-29,65
2020-01-30,77
2020-01-31,67
2020-02-01,74
2020-02-02,74
2020-02-03,88
2020-02-04,74
2020-02-05,76
2020-02-06,83
2020-02-07,72
2020-02-08,72
2020-02-09,75
2020-02-10,100
2020-02-11,87
2020-02-12,66
2020-02-13,77
2020-02-14,77
2020-02-15,76
2020-02-16,75
2020-02-17,80
2020-02-18,81
2020-02-19,91
2020-02-20,72
2020-02-21,82
2020-02-22,60
2020-02-23,75
2020-02-24,68
2020-02-25,66
2020-02-26,66
2020-02-27,79
2020-02-28,70
2020-02-29,65
2020-03-01,82
2020-03-02,79
2020-03-03,76
2020-03-04,80
2020-03-05,77
2020-03-06,83
2020-03-07,81
2020-03-08,93
2020-03-09,81
2020-03-10,74
2020-03-11,75
2020-03-12,73
2020-03-13,79
2020-03-14,64
2020-03-15,76
2020-03-16,77
2020-03-17,85
2020-03-18,73
2020-03-19,77
2020-03-20,84
2020-03-21,78
2020-03-22,86
2020-03-23,83
2020-03-24,85
2020-03-25,68
2020-03-26,85
2020-03-27,84
2020-03-28,75
2020-03-29,100
2020-03-30,78
2020-03-31,71
2020-04-01,89
2020-04-02,89
2020-04-03,83
2020-04-04,61
2020-04-05,80
2020-04-06,67
2020-04-07,74
