Categoría: Estudios religiosos y teología

Semana,Geo: Austria
2018-12-30,93
2019-01-06,92
2019-01-13,87
2019-01-20,83
2019-01-27,74
2019-02-03,76
2019-02-10,67
2019-02-17,83
2019-02-24,76
2019-03-03,88
2019-03-10,84
2019-03-17,81
2019-03-24,82
2019-03-31,84
2019-04-07,75
2019-04-14,67
2019-04-21,77
2019-04-28,76
2019-05-05,87
2019-05-12,100
2019-05-19,80
2019-05-26,93
2019-06-02,63
2019-06-09,73
2019-06-16,71
2019-06-23,71
2019-06-30,62
2019-07-07,76
2019-07-14,67
2019-07-21,73
2019-07-28,73
2019-08-04,73
2019-08-11,66
2019-08-18,83
2019-08-25,76
2019-09-01,82
2019-09-08,69
2019-09-15,72
2019-09-22,72
2019-09-29,76
2019-10-06,74
2019-10-13,83
2019-10-20,81
2019-10-27,78
2019-11-03,99
2019-11-10,85
2019-11-17,82
2019-11-24,75
2019-12-01,85
2019-12-08,79
2019-12-15,85
2019-12-22,56
2019-12-29,63
2020-01-05,74
2020-01-12,76
2020-01-19,83
2020-01-26,91
2020-02-02,74
2020-02-09,81
2020-02-16,90
2020-02-23,85
2020-03-01,98
2020-03-08,89
2020-03-15,74
2020-03-22,83
2020-03-29,84
2020-04-05,78
