Categoría: Estudios religiosos y teología

Semana,Geo: Bélgica
2018-12-30,76
2019-01-06,92
2019-01-13,86
2019-01-20,89
2019-01-27,78
2019-02-03,73
2019-02-10,79
2019-02-17,93
2019-02-24,82
2019-03-03,79
2019-03-10,89
2019-03-17,87
2019-03-24,75
2019-03-31,87
2019-04-07,67
2019-04-14,70
2019-04-21,93
2019-04-28,86
2019-05-05,82
2019-05-12,91
2019-05-19,87
2019-05-26,78
2019-06-02,88
2019-06-09,79
2019-06-16,84
2019-06-23,72
2019-06-30,72
2019-07-07,62
2019-07-14,56
2019-07-21,51
2019-07-28,64
2019-08-04,68
2019-08-11,78
2019-08-18,74
2019-08-25,81
2019-09-01,91
2019-09-08,84
2019-09-15,92
2019-09-22,100
2019-09-29,86
2019-10-06,88
2019-10-13,97
2019-10-20,81
2019-10-27,77
2019-11-03,86
2019-11-10,80
2019-11-17,85
2019-11-24,78
2019-12-01,79
2019-12-08,82
2019-12-15,84
2019-12-22,68
2019-12-29,76
2020-01-05,88
2020-01-12,87
2020-01-19,80
2020-01-26,82
2020-02-02,75
2020-02-09,81
2020-02-16,92
2020-02-23,78
2020-03-01,93
2020-03-08,93
2020-03-15,46
2020-03-22,52
2020-03-29,57
2020-04-05,45
