Categoría: Estudios religiosos y teología

Semana,Geo: Alemania
2018-12-30,76
2019-01-06,77
2019-01-13,88
2019-01-20,76
2019-01-27,73
2019-02-03,79
2019-02-10,77
2019-02-17,74
2019-02-24,67
2019-03-03,76
2019-03-10,79
2019-03-17,75
2019-03-24,74
2019-03-31,74
2019-04-07,77
2019-04-14,69
2019-04-21,72
2019-04-28,69
2019-05-05,81
2019-05-12,80
2019-05-19,82
2019-05-26,75
2019-06-02,71
2019-06-09,71
2019-06-16,68
2019-06-23,70
2019-06-30,83
2019-07-07,72
2019-07-14,72
2019-07-21,67
2019-07-28,65
2019-08-04,64
2019-08-11,65
2019-08-18,66
2019-08-25,69
2019-09-01,62
2019-09-08,71
2019-09-15,82
2019-09-22,71
2019-09-29,67
2019-10-06,67
2019-10-13,75
2019-10-20,78
2019-10-27,73
2019-11-03,85
2019-11-10,93
2019-11-17,100
2019-11-24,89
2019-12-01,76
2019-12-08,87
2019-12-15,71
2019-12-22,70
2019-12-29,64
2020-01-05,76
2020-01-12,75
2020-01-19,78
2020-01-26,76
2020-02-02,78
2020-02-09,79
2020-02-16,78
2020-02-23,69
2020-03-01,81
2020-03-08,77
2020-03-15,82
2020-03-22,81
2020-03-29,82
2020-04-05,70
