Categoría: Estudios religiosos y teología

Semana,Geo: Países Bajos
2018-12-30,61
2019-01-06,79
2019-01-13,76
2019-01-20,81
2019-01-27,84
2019-02-03,75
2019-02-10,73
2019-02-17,70
2019-02-24,68
2019-03-03,71
2019-03-10,74
2019-03-17,72
2019-03-24,83
2019-03-31,73
2019-04-07,72
2019-04-14,67
2019-04-21,58
2019-04-28,60
2019-05-05,67
2019-05-12,75
2019-05-19,73
2019-05-26,65
2019-06-02,69
2019-06-09,63
2019-06-16,62
2019-06-23,64
2019-06-30,58
2019-07-07,57
2019-07-14,51
2019-07-21,46
2019-07-28,48
2019-08-04,51
2019-08-11,53
2019-08-18,61
2019-08-25,72
2019-09-01,100
2019-09-08,82
2019-09-15,74
2019-09-22,74
2019-09-29,77
2019-10-06,74
2019-10-13,74
2019-10-20,72
2019-10-27,93
2019-11-03,81
2019-11-10,79
2019-11-17,77
2019-11-24,65
2019-12-01,71
2019-12-08,74
2019-12-15,72
2019-12-22,47
2019-12-29,57
2020-01-05,76
2020-01-12,79
2020-01-19,78
2020-01-26,77
2020-02-02,77
2020-02-09,77
2020-02-16,71
2020-02-23,68
2020-03-01,68
2020-03-08,82
2020-03-15,62
2020-03-22,61
2020-03-29,57
2020-04-05,55
